sample_fp	plate	cycle
/mnt/data/whitney/input_sbs/plate_1/c1/c1_2025-12-11_21-50-59.603858/0/coordinates.csv	1	1
/mnt/data/whitney/input_sbs/plate_1/c2/c2_2025-12-12_07-37-45.151525/0/coordinates.csv	1	2
/mnt/data/whitney/input_sbs/plate_1/c3/c3_2025-12-12_12-58-49.736929/0/coordinates.csv	1	3
/mnt/data/whitney/input_sbs/plate_1/c4/c4_2025-12-12_20-21-19.653797/0/coordinates.csv	1	4
/mnt/data/whitney/input_sbs/plate_1/c5/c5_2025-12-12_21-03-14.942438/0/coordinates.csv	1	5
/mnt/data/whitney/input_sbs/plate_1/c6/c6_2025-12-13_02-23-19.986924/0/coordinates.csv	1	6
/mnt/data/whitney/input_sbs/plate_1/c7/c7_2025-12-13_05-48-59.944090/0/coordinates.csv	1	7
/mnt/data/whitney/input_sbs/plate_1/c8/c8_2025-12-13_08-33-56.875086/0/coordinates.csv	1	8
/mnt/data/whitney/input_sbs/plate_1/c9/c9_2025-12-13_09-43-56.387789/0/coordinates.csv	1	9
/mnt/data/whitney/input_sbs/plate_1/c10/c10_2025-12-13_12-31-34.832663/0/coordinates.csv	1	10
/mnt/data/whitney/input_sbs/plate_1/c11/c11_2025-12-13_15-15-11.208087/0/coordinates.csv	1	11
/mnt/data/whitney/input_sbs/plate_1/c12/c12_2025-12-13_17-58-47.446472/0/coordinates.csv	1	12
